,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
16344,Harper Dry Lake 008,11839,Valid,H6,12.5,Found,2000.0,35.05193,-117.26138,"(35.05193, -117.26138)"
16345,Harper Dry Lake 017,45964,Valid,H6,16.4,Found,2007.0,35.04102,-117.27465,"(35.04102, -117.27465)"
16346,Harper Dry Lake 018,52983,Valid,H6,39.7,Found,2007.0,35.0421,-117.27512,"(35.0421, -117.27512)"
16347,Harper Dry Lake 019,45965,Valid,L6,118.7,Found,2007.0,35.04015,-117.27283,"(35.04015, -117.27283)"
16348,Harper Dry Lake 029,52112,Valid,H6,11.56,Found,2008.0,35.04568,-117.26658,"(35.04568, -117.26658)"
16349,Harper Dry Lake 036,52853,Valid,L6,85.5,Found,2010.0,35.03333,-117.28333,"(35.03333, -117.28333)"
16350,Harriman (Of),11840,Valid,"Iron, IVA",30000.0,Found,1947.0,35.95,-84.56667,"(35.95, -84.56667)"
16351,Harriman (Om),11841,Valid,"Iron, IIIAB",13000.0,Found,1938.0,35.95,-84.56667,"(35.95, -84.56667)"
16352,Harrison Township,11843,Valid,L6,3263.0,Found,1945.0,38.33333,-101.71167,"(38.33333, -101.71167)"
16353,Harrisonville,11844,Valid,L6,46500.0,Found,1933.0,38.65,-94.33333,"(38.65, -94.33333)"
16354,Hart,56555,Valid,CK3,966.0,Found,2010.0,34.37718,-102.11672,"(34.37718, -102.11672)"
16355,Hart Camp,11846,Valid,H6,1200.0,Found,1970.0,33.99833,-102.17667,"(33.99833, -102.17667)"
16356,Hartley,11847,Valid,L,2100.0,Found,1967.0,35.94167,-102.16,"(35.94167, -102.16)"
16357,Hartsel,30725,Valid,H4,490.0,Found,2000.0,38.83333,-105.8,"(38.83333, -105.8)"
16358,Haskell,11849,Valid,L5,36000.0,Found,1909.0,33.21333,-99.73167,"(33.21333, -99.73167)"
16359,Hasparos,11850,Valid,"Iron, IAB-MG",12880.0,Found,1935.0,34.0,-105.5,"(34.0, -105.5)"
16360,Hassayampa,11851,Valid,H4,16000.0,Found,1963.0,33.75,-112.66667,"(33.75, -112.66667)"
16361,Hat Creek,11853,Valid,H4,8900.0,Found,1939.0,42.91667,-104.41667,"(42.91667, -104.41667)"
16362,Hatfield,11854,Valid,"Iron, IAB complex",21.0,Found,1941.0,34.48333,-94.45,"(34.48333, -94.45)"
16364,Havana,11857,Valid,"Iron, IAB complex",,Found,,40.33333,-90.05,"(40.33333, -90.05)"
16365,Haven,11858,Valid,H6,6100.0,Found,1950.0,37.96417,-97.75583,"(37.96417, -97.75583)"
16366,Haviland (a),11860,Valid,H5,1035.0,Found,1937.0,37.61667,-99.1,"(37.61667, -99.1)"
16367,Haviland (b),11861,Valid,H5,2092.0,Found,1976.0,37.59667,-99.125,"(37.59667, -99.125)"
16368,Hawk Springs,11862,Valid,H5,367.0,Found,1935.0,41.78333,-104.28333,"(41.78333, -104.28333)"
16370,Haxtun,11863,Valid,H/L4,15500.0,Found,1975.0,40.45667,-102.57834,"(40.45667, -102.57834)"
16371,Hayden Creek,11864,Valid,"Iron, IIIAB",270.0,Found,1895.0,45.0,-114.0,"(45.0, -114.0)"
16372,Hayes Center,11865,Valid,L6,4500.0,Found,1941.0,40.51667,-101.03333,"(40.51667, -101.03333)"
16375,Hebron,11867,Valid,H6,21820.0,Found,1965.0,40.16667,-97.6,"(40.16667, -97.6)"
16379,Hendersonville,11873,Valid,L5,6000.0,Found,1901.0,35.31667,-81.46667,"(35.31667, -81.46667)"
16381,Hereford,11876,Valid,OC,2276.0,Found,1970.0,33.795,-102.24167,"(33.795, -102.24167)"
16383,Hesston,11879,Valid,L6,12900.0,Found,1951.0,38.11667,-97.43333,"(38.11667, -97.43333)"
16386,Hickiwan,11881,Valid,H5,1928.0,Found,1974.0,32.35833,-112.40889,"(32.35833, -112.40889)"
16388,Hildreth,11885,Valid,L5,3060.0,Found,1894.0,40.33333,-99.03333,"(40.33333, -99.03333)"
16389,Hill City,11886,Valid,"Iron, IVA",11700.0,Found,1947.0,39.36667,-99.85,"(39.36667, -99.85)"
16393,Hobbs,11891,Valid,H4,2300.0,Found,1933.0,32.73333,-103.1,"(32.73333, -103.1)"
16394,Hobbs (b),11892,Valid,H5,1600.0,Found,1933.0,32.73333,-103.1,"(32.73333, -103.1)"
16395,Holland's Store,11896,Valid,"Iron, IIAB",12200.0,Found,1887.0,34.36667,-85.43333,"(34.36667, -85.43333)"
16396,Holliday,11897,Valid,Iron,12.0,Found,1950.0,33.75,-98.83333,"(33.75, -98.83333)"
16397,Holly,11898,Valid,H4,299.0,Found,1937.0,38.06667,-102.1,"(38.06667, -102.1)"
16399,Holyoke,11900,Valid,H4,11200.0,Found,1933.0,40.56667,-102.3,"(40.56667, -102.3)"
16401,Hope,11905,Valid,"Iron, IAB-MG",6800.0,Found,1955.0,33.68333,-93.6,"(33.68333, -93.6)"
16403,Hopper,11907,Valid,"Iron, IIIAB",1800.0,Found,1889.0,36.55,-79.78333,"(36.55, -79.78333)"
